coordinates LeftBoundaryScore RightBoundaryScore TADscore
chr20-0 -0.27130659072985 -0.241287485278218 -0.241287485278218
chr20-50000 -0.27130659072985 -0.241287485278218 -0.241287485278218
chr20-100000 -0.27130659072985 -0.241287485278218 -0.241287485278218
chr20-150000 -0.27130659072985 -0.241287485278218 -0.241287485278218
chr20-200000 -0.27130659072985 -0.241287485278218 -0.241287485278218
chr20-250000 -0.27130659072985 -0.241287485278218 -0.241287485278218
chr20-300000 -0.27130659072985 -0.241287485278218 -0.241287485278218
chr20-350000 -0.27130659072985 -0.241287485278218 -0.241287485278218
chr20-400000 -0.27130659072985 -0.241287485278218 -0.241287485278218
chr20-450000 -0.27130659072985 -0.241287485278218 -0.241287485278218
chr20-500000 -0.27130659072985 -0.241287485278218 -0.241287485278218
chr20-550000 0.487256290145501 -0.283818943807416 0.487256290145501
chr20-600000 1.22430467297196 0.291537333522013 1.22430467297196
chr20-650000 1.11374741554799 0.4284727919046 1.11374741554799
chr20-700000 0.710717046768831 0.31147847636277 0.710717046768831
chr20-750000 -0.359823636923341 -0.562385020565208 -0.359823636923341
chr20-800000 -1.09243990823526 -1.39808325083858 -1.09243990823526
chr20-850000 -1.00658096803206 -1.35165557137895 -1.00658096803206
chr20-900000 -0.729399254699751 -0.423101982186312 -0.423101982186312
chr20-950000 -0.775596206921802 -0.0981082259688885 -0.0981082259688885
chr20-1000000 -0.519662240110892 0.108015816561197 0.108015816561197
chr20-1050000 -0.0376713704405052 0.486995164916662 0.486995164916662
chr20-1100000 0.0397389141070872 0.595959661218322 0.595959661218322
chr20-1150000 0.94791152941204 1.35438468701262 1.35438468701262
chr20-1200000 1.27958330168395 1.28031173540398 1.28031173540398
chr20-1250000 0.671518385852116 0.465509267708921 0.671518385852116
chr20-1300000 0.376699032721532 -0.997431526561744 0.376699032721532
chr20-1350000 0.528908713797717 -1.02666181516153 0.528908713797717
chr20-1400000 0.989308248974866 -0.0516805465092565 0.989308248974866
chr20-1450000 0.425524550851528 0.0876024918696393 0.425524550851528
chr20-1500000 -0.729399254699751 -0.794523417863368 -0.729399254699751
chr20-1550000 -1.46855049025257 -1.54367783608614 -1.46855049025257
chr20-1600000 -1.26323361906735 -1.35165557137895 -1.26323361906735
chr20-1650000 -0.331843904696228 -0.60881270002484 -0.331843904696228
chr20-1700000 0.378509165112659 0.644734645385223 0.644734645385223
chr20-1750000 0.302994194438885 0.768693277620133 0.768693277620133
chr20-1800000 0.450403871004178 0.532955496770653 0.532955496770653
chr20-1850000 0.94791152941204 0.486995164916662 0.94791152941204
chr20-1900000 0.306458718649726 0.18968229498459 0.306458718649726
chr20-1950000 -0.519662240110892 -0.7381761959315 -0.519662240110892
chr20-2000000 -0.902451499014634 -0.980234135701896 -0.902451499014634
chr20-2050000 -0.471567650821717 -0.846296071635044 -0.471567650821717
chr20-2100000 0.148342837519221 -0.283818943807416 0.148342837519221
chr20-2150000 -0.406020589145393 0.180457850788903 0.180457850788903
chr20-2200000 -1.00658096803206 -0.222322913968271 -0.222322913968271
chr20-2250000 -1.14517182469821 -0.293738486279652 -0.293738486279652
chr20-2300000 -1.00658096803206 -0.0395549007450129 -0.0395549007450129
chr20-2350000 -0.637005350255648 0.798837549947807 0.798837549947807
chr20-2400000 0.284567984868224 1.90993182407743 1.90993182407743
chr20-2450000 0.616239757140132 1.09512935638237 1.09512935638237
chr20-2500000 0.653092176281455 0.169217461274356 0.653092176281455
chr20-2550000 0.81710081732649 -0.201147296768851 0.81710081732649
chr20-2600000 0.702848839221163 -0.216595071249142 0.702848839221163
chr20-2650000 0.149304606591831 -0.562385020565208 0.149304606591831
chr20-2700000 -0.267429732479239 -0.60881270002484 -0.267429732479239
chr20-2750000 -0.637005350255648 -0.748095738403736 -0.637005350255648
chr20-2800000 -0.960384015810006 -0.794523417863368 -0.794523417863368
